"block_id","program","k","N","q","prev","draws","seed","wall_secs","file","md5","demo","package_version","r_version"
244,"prev_strata",3,300,0.97,0.5,50000,20300244,9388.559,"block_0244.rds","e60d910976b6dca46cb9ef2c002b1bfa",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
243,"prev_strata",3,300,0.97,0.2,50000,20300243,11620.479,"block_0243.rds","60034819a4a2f0f8cbb227629e72487d",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
245,"prev_strata",3,300,0.97,0.8,50000,20300245,12171.155,"block_0245.rds","31c1b4420a7f16d50c48da0ffa8372a7",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
247,"prev_strata",3,500,0.65,0.05,50000,20300247,4268.735,"block_0247.rds","c657f0929b5d5f3b3e777d2f7bdab1c4",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
248,"prev_strata",3,500,0.65,0.2,50000,20300248,4442.906,"block_0248.rds","d02d8c4f7d90ec49d16a1e776295f13e",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
250,"prev_strata",3,500,0.65,0.8,50000,20300250,4402.369,"block_0250.rds","4641325b0c4b9eadc84c447b32641f57",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
246,"prev_strata",3,300,0.97,0.95,50000,20300246,8462.395,"block_0246.rds","0e9b06140c4111969e6958b07a0ff3f5",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
251,"prev_strata",3,500,0.65,0.95,50000,20300251,4391.592,"block_0251.rds","c9d6dfbee4fe6a8bddb675213171e372",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
253,"prev_strata",3,500,0.75,0.2,50000,20300253,5004.428,"block_0253.rds","7664f5d35d0bf403065e9c980b94be39",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
249,"prev_strata",3,500,0.65,0.5,50000,20300249,4315.81,"block_0249.rds","cf021643e0c8b30b8292a4dcc7cfe804",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
254,"prev_strata",3,500,0.75,0.5,50000,20300254,4230.334,"block_0254.rds","4883ecdb5da66b2c66950267f42780d4",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
256,"prev_strata",3,500,0.75,0.95,50000,20300256,4954.965,"block_0256.rds","55f5eed29330e9217b8b8c542af3810a",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
252,"prev_strata",3,500,0.75,0.05,50000,20300252,4785.457,"block_0252.rds","e7bdff5994d63b4515d39077f6c4dae1",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
257,"prev_strata",3,500,0.85,0.05,50000,20300257,5574.669,"block_0257.rds","faecc325d102541bd6530d6efcb25ac1",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
259,"prev_strata",3,500,0.85,0.5,50000,20300259,4993.95,"block_0259.rds","7ad6c21b3b4ac3f5da2ef001e6cff7c8",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
255,"prev_strata",3,500,0.75,0.8,50000,20300255,5150.281,"block_0255.rds","78d32ce5e57d3afb7308c02a1eb5e5e3",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
260,"prev_strata",3,500,0.85,0.8,50000,20300260,6346.715,"block_0260.rds","30ba8b244257e74b8688685963cf06d0",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
258,"prev_strata",3,500,0.85,0.2,50000,20300258,5755.097,"block_0258.rds","d53504ca96c4c50d2dd490a110d55d2f",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
262,"prev_strata",3,500,0.92,0.05,50000,20300262,8248.865,"block_0262.rds","022ece2a52993632ace4e430ea83803a",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
261,"prev_strata",3,500,0.85,0.95,50000,20300261,5752.158,"block_0261.rds","73a23409475a5a6135c473db034f164a",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
263,"prev_strata",3,500,0.92,0.2,50000,20300263,11205.205,"block_0263.rds","e788e233e174e18469352b5480ba626d",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
