"block_id","program","k","N","q","prev","draws","seed","wall_secs","file","md5","demo","package_version","r_version"
291,"prev_strata",3,1000,0.92,0.95,50000,20300291,17406.246,"block_0291.rds","ebf35143fea8ee641f5505888dd8a7c1",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
292,"prev_strata",3,1000,0.97,0.05,50000,20300292,23164.983,"block_0292.rds","b43a51dd68d2b41bdca36c5e3fcc2e1c",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
293,"prev_strata",3,1000,0.97,0.2,50000,20300293,27445.477,"block_0293.rds","c1c70363505229318b30625c7098de6e",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
294,"prev_strata",3,1000,0.97,0.5,50000,20300294,13208.736,"block_0294.rds","c1ddd78badfb4fac633cb0275662e8ef",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
297,"prev_strata",5,15,0.65,0.05,50000,20300297,2045.341,"block_0297.rds","ace5ffc5773744eb79a52d307407f924",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
300,"prev_strata",5,15,0.65,0.8,50000,20300300,2081.286,"block_0300.rds","4a5f819b608e446ca83babf9954523b2",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
303,"prev_strata",5,15,0.75,0.2,50000,20300303,2203.803,"block_0303.rds","87e183abf1e9500e4fc822eb0c82b453",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
306,"prev_strata",5,15,0.75,0.95,50000,20300306,2123.566,"block_0306.rds","aaed53466311249f342a504d74a391d4",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
309,"prev_strata",5,15,0.85,0.5,50000,20300309,2361.2,"block_0309.rds","ff92434f852781566ffa4dc381dce37b",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
312,"prev_strata",5,15,0.92,0.05,50000,20300312,2453.316,"block_0312.rds","396a52a06f42124db503679ba816cd81",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
298,"prev_strata",5,15,0.65,0.2,50000,20300298,2143.388,"block_0298.rds","e8c37b08af42caa0ddc03198ebb98cb6",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
299,"prev_strata",5,15,0.65,0.5,50000,20300299,2111.187,"block_0299.rds","7316a0b77641f885408f48da0c976835",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
301,"prev_strata",5,15,0.65,0.95,50000,20300301,2059.331,"block_0301.rds","2ce561ca2a6d88bd50b110da8521ea40",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
302,"prev_strata",5,15,0.75,0.05,50000,20300302,2155.399,"block_0302.rds","9cdc3140fdce0e2a66d63fed1c869e95",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
304,"prev_strata",5,15,0.75,0.5,50000,20300304,2202.283,"block_0304.rds","fb6bafa285a2b8c870cc7f9ad838f034",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
305,"prev_strata",5,15,0.75,0.8,50000,20300305,2221.312,"block_0305.rds","79230efca293a312f5cf9736d1adcc1f",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
296,"prev_strata",3,1000,0.97,0.95,50000,20300296,21791.455,"block_0296.rds","028848ca8b0d4f0bcd00aca016766aad",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
307,"prev_strata",5,15,0.85,0.05,50000,20300307,2236.868,"block_0307.rds","7479d484617ebb13d6a133bde51f78ab",FALSE,"0.7.2","R version 4.5.2 (2025-10-31)"
